3.439422522799361;0.0	4.358666989854278;0.0	4.075663054972993;0.0	4.1357891909930595;0.0	4.154811102926105;0.0	
2.8976164384558074;0.0	4.147105295901241;0.0	4.1038424743476165;0.0	4.138343426668138;0.0	4.233696490653236;0.0	
3.7182158358333623;0.0	4.198812151299575;0.0	4.18034475313173;0.0	4.295257270691653;0.0	4.139759349164685;0.0	
3.3869332959780123;0.0	4.811157905689824;0.0	4.455179883552008;0.0	4.165646610798697;0.0	4.04235158889784;0.0	
6.432159111671051;0.0	6.650798922719796;0.0	7.5296363942889455;0.0	7.4446556187400414;0.0	7.428029129714918;0.0	
7.307759493623002;0.0	7.92685471280271;0.0	9.246405284469251;0.0	9.633025307256805;0.0	8.079632378491867;0.0	
6.79384079009093;0.0	8.958169231325964;0.0	10.479533458230032;0.0	9.937289822655359;0.0	8.854979125707311;0.0	
6.771148811941443;0.0	9.642407816733055;0.0	10.215469408491773;0.0	9.648627225819963;0.0	9.640071719545174;0.0	
7.819772722707482;0.0	9.172120790887409;0.0	10.158560792990885;0.0	10.045996267251788;0.0	9.625025536080063;0.0	
7.4826286531495905;0.0	9.124658286055448;0.0	10.042128226714647;0.0	9.84418860828394;0.0	10.586438347184044;0.0	
6.3418336222016345;0.0	8.595165438451607;0.0	9.728259110022236;0.0	9.833016177432501;0.0	10.455830229445754;0.0	
7.411809641091178;0.0	8.089340078600769;0.0	9.226428198504703;0.0	9.236541447984331;0.0	8.180702755028095;0.0	
5.812743903450711;0.0	7.929595946926145;0.0	8.2283190208459;0.0	7.83706376540675;0.0	8.09580265731868;0.0	
6.371156670765856;0.0	7.171346332329258;0.0	6.916681384349302;0.0	7.051546936141831;0.0	7.132574018266825;0.0	
5.726800874180997;0.0	6.475889765706814;0.0	6.371770220028329;0.0	6.331926135620801;0.0	6.372023712281873;0.0	
4.134329141143715;0.0	4.763459421244395;0.0	4.597073981762;0.0	4.732385085198566;0.0	4.4096250963190515;0.0	
5.1702068288669665;0.0	5.632267777374677;0.0	5.63128592657215;0.0	6.262771412125153;0.0	6.79490109182143;0.0	
5.258156390329347;0.0	7.1724728731615555;0.0	7.998373567130199;0.0	8.388287153175682;0.0	8.165514138359667;0.0	
